id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2naJy8SKJ27gj6ZhRPDKaz,Si Tu Lo Dejas,64,275478,1,"['Rvssian', 'Bad Bunny', 'Farruko', 'Nicky Jam', 'Kosa']","['1fctva4kpRbg2k3v7kwRuS', '4q3ewBCX7sLwd24euuV69X', '329e4yvIujISKGKz1BZZbO', '1SupJlEpv7RS2tPNRaHViT', '2DR7MOGAwxMZUA7U4N5X6t']",2017-08-03,0.713,0.577,1,-9.367,0,0.0436,0.0286,0.0,0.165,0.387,115.021,4
43SMQMC2X2fAOuTPRnSGrG,Tu No Metes Cabra,66,170762,1,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],2017-07-06,0.86,0.641,7,-2.149,1,0.219,0.689,0.00331,0.107,0.432,92.013,4
5gFAT2DbEt4TOMXyAMEixG,Netflixxx,66,218909,1,"['Brytiago', 'Bad Bunny']","['00XhexlJEXQstHimpZN910', '4q3ewBCX7sLwd24euuV69X']",2017-06-30,0.707,0.609,6,-5.673,0,0.126,0.711,0.0,0.137,0.579,134.91,4
2sA4woGW5KgEgGXXxOKPAZ,Amigos y Enemigos (feat. Bad Bunny & Almighty) - Remix,62,295304,1,"['Trap Capos', 'Noriel', 'Bad Bunny', 'Almighty']","['2pQAUIesBqfT87PaM1ijtk', '3RtNN1VnooWEn3KQk03DUL', '4q3ewBCX7sLwd24euuV69X', '6P6GTRTigHBp8ZesNtpCKH']",2017-02-06,0.752,0.748,6,-3.755,1,0.0895,0.289,0.0,0.105,0.497,115.01,4
0alSPoUfrGb0RdVVG4Lf3n,Ahora Me Llama,66,235227,0,"['KAROL G', 'Bad Bunny']","['790FomKkXshlbRYZFtlgla', '4q3ewBCX7sLwd24euuV69X']",2017-10-27,0.646,0.573,7,-5.716,0,0.041,0.00949,3.98e-05,0.0932,0.109,134.979,4
7FfpP3YZ6fOWMdxkIAtud9,Krippy Kush,66,230520,1,"['Farruko', 'Bad Bunny', 'Rvssian']","['329e4yvIujISKGKz1BZZbO', '4q3ewBCX7sLwd24euuV69X', '1fctva4kpRbg2k3v7kwRuS']",2017-09-15,0.708,0.56,9,-7.132,1,0.129,0.0668,0.0,0.111,0.411,163.043,4
6ipDE6Y0xrjEeaBTuPfW1K,Tu No Metes Cabra - Remix,64,331440,1,"['Bad Bunny', 'Daddy Yankee', 'Anuel AA', 'Cosculluela']","['4q3ewBCX7sLwd24euuV69X', '4VMYDCV2IEDYJArk749S6m', '2R21vXR83lH98kGeO99Y66', '00me4Ke1LsvMxt5kydlMyU']",2017-10-25,0.848,0.574,7,-3.195,1,0.271,0.449,0.0,0.073,0.493,91.964,4
1RijmOnza5p9CzaFKr8W1Y,Soy Peor - Remix,66,315847,1,"['Bad Bunny', 'J Balvin', 'Ozuna', 'Arcangel']","['4q3ewBCX7sLwd24euuV69X', '1vyhD5VmyZ7KMfW5gqLgo5', '1i8SpTcr7yvPOmcqrbnVXY', '4SsVbpTthjScTS7U2hmr1X']",2017-06-22,0.823,0.457,0,-7.036,0,0.119,0.214,0.0,0.352,0.268,115.991,4
04f13iELcsYpY2yeLiAcfq,El Amante (feat. Ozuna & Bad Bunny) - Remix,65,225520,0,"['Nicky Jam', 'Ozuna', 'Bad Bunny']","['1SupJlEpv7RS2tPNRaHViT', '1i8SpTcr7yvPOmcqrbnVXY', '4q3ewBCX7sLwd24euuV69X']",2017-06-26,0.803,0.767,8,-5.377,1,0.0535,0.311,0.0,0.073,0.598,89.968,4
1BssJgelMGDNOeIy7ZqgOW,Hoy (feat. Bad Bunny),60,234272,1,"['Ñengo Flow', 'Bad Bunny']","['12vb80Km0Ew53ABfJOepVz', '4q3ewBCX7sLwd24euuV69X']",2017-02-10,0.675,0.681,5,-4.495,0,0.151,0.23,0.0,0.132,0.553,141.87,4
0mQD5ilmghCieAw6E6YFrd,Ahora Me Llama - Remix,62,251907,0,"['KAROL G', 'Bad Bunny', 'Quavo']","['790FomKkXshlbRYZFtlgla', '4q3ewBCX7sLwd24euuV69X', '0VRj0yCOv2FXJNP47XQnx5']",2017-10-06,0.671,0.631,0,-7.059,0,0.0421,0.0445,1.94e-05,0.101,0.205,134.986,4
3uPLiBTUgz7wrGJ2mw1rzM,Blockia,57,201739,1,"['Bad Bunny', 'Farruko', 'DJ Luian', 'Mambo Kingz']","['4q3ewBCX7sLwd24euuV69X', '329e4yvIujISKGKz1BZZbO', '64aJYyrXljOodnUG6jvhRD', '2T1aUibqR2QC2sINIDQOAK']",2017-05-19,0.773,0.583,1,-8.694,0,0.054,0.206,0.0,0.16,0.373,138.009,4
6Nzq7iIxg5w9ipnCd15sQt,"Te Lo Meto Yo (feat. Bad Bunny, Lary Over, Farruko, Arcangel & Tempo)",55,389616,1,"['Pepe Quintana', 'Bad Bunny', 'Lary Over', 'Farruko', 'Arcangel', 'Tempo']","['7LXdYckhvHWU4ejXbkHa3N', '4q3ewBCX7sLwd24euuV69X', '1jSjfSgDjedJdi5MoyRu78', '329e4yvIujISKGKz1BZZbO', '4SsVbpTthjScTS7U2hmr1X', '5QmZNcdq0h1NuL1G7t2yGp']",2017-01-19,0.7,0.499,2,-10.219,1,0.228,0.0655,0.0,0.109,0.182,129.949,4
69ZaPBHhRMRDjRpW1ivnOU,Como Antes,70,230578,0,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],2018-12-23,0.767,0.379,0,-10.348,1,0.0385,0.668,0.000145,0.217,0.252,103.956,4
