id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
177WEvlLsCc0FzCTWslawr,outside,62,176488,1,['Travis Scott'],['0Y5tJX1MQlPlqiwlOH1tJY'],2016-09-16,0.758,0.616,2,-3.471,1,0.311,0.503,0.0,0.103,0.494,165.906,4
7KZ5MMVgBVox9ycroB2UrI,CAROUSEL,69,180183,1,['Travis Scott'],['0Y5tJX1MQlPlqiwlOH1tJY'],2018-08-03,0.428,0.403,5,-5.914,0,0.209,0.229,0.0,0.22,0.133,95.387,5
0IabpxMpUV7waD7U4uDIMJ,Impossible,63,242507,1,['Travis Scott'],['0Y5tJX1MQlPlqiwlOH1tJY'],2015-09-04,0.507,0.464,3,-8.531,0,0.171,0.398,2.62e-05,0.603,0.277,147.984,4
7p7pzSVr2zovan3m1m5hFm,Sky Fall,58,318093,1,"['Travis Scott', 'Young Thug']","['0Y5tJX1MQlPlqiwlOH1tJY', '50co4Is1HCEo8bhOyUWKpn']",2014-12-16,0.652,0.69,11,-7.1,0,0.0574,0.213,0.0,0.257,0.249,98.451,4
01Ch5LzVStxCFPKkT1xg6k,sweet sweet,64,222318,1,['Travis Scott'],['0Y5tJX1MQlPlqiwlOH1tJY'],2016-09-16,0.733,0.578,0,-5.245,0,0.0417,0.0859,1.19e-06,0.403,0.447,142.028,4
7foypmc7KZyU716Yv63BPe,Saint,66,140793,1,"['Huncho Jack', 'Travis Scott', 'Quavo']","['6extd4B6hl8VTmnlhpl2bY', '0Y5tJX1MQlPlqiwlOH1tJY', '0VRj0yCOv2FXJNP47XQnx5']",2017-12-21,0.866,0.648,1,-3.675,1,0.0543,0.009,0.0,0.0967,0.0798,150.058,4
4KYS9GK68yeuUJ8vJfPxrq,WHO? WHAT!,68,176720,1,['Travis Scott'],['0Y5tJX1MQlPlqiwlOH1tJY'],2018-08-03,0.834,0.731,10,-5.603,0,0.0566,0.0462,0.0,0.0731,0.681,140.001,4
6BJbOXDlgVAXSaq6wYFYT2,NC-17,67,156886,1,['Travis Scott'],['0Y5tJX1MQlPlqiwlOH1tJY'],2018-08-03,0.804,0.763,2,-5.48,1,0.0519,0.0678,0.0,0.368,0.0585,136.052,4
6qUabsNxudatEFedWGHoDh,"FRANCHISE (feat. Future, Young Thug & M.I.A.) - REMIX",74,207394,1,"['Travis Scott', 'Future', 'Young Thug', 'M.I.A.']","['0Y5tJX1MQlPlqiwlOH1tJY', '1RyvyyTE3xzB2ZywiAwp0i', '50co4Is1HCEo8bhOyUWKpn', '0QJIPDAEDILuo8AIq3pMuU']",2020-10-07,0.859,0.77,8,-5.358,0,0.345,0.0056,0.0,0.0731,0.348,155.025,4
5L9WFUodzACitS1TiGm7Mi,No Sense,63,275040,0,"['Justin Bieber', 'Travis Scott']","['1uNFoZAHBGtllmzznpCI3s', '0Y5tJX1MQlPlqiwlOH1tJY']",2015-11-13,0.643,0.499,2,-6.795,0,0.0308,0.0478,0.0,0.108,0.363,133.978,4
